"雇用契約期間の定めの有無
従業上の地位・雇用形態",番号,総数,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85歳以上,平均年齢
　　　　パート,13,3916500.0,2500.0,33800.0,106200.0,215700.0,356700.0,465500.0,577700.0,626500.0,531400.0,432300.0,292300.0,196300.0,64200.0,12700.0,2600.0,51.1
　　　　アルバイト,14,758600.0,126700.0,190200.0,60600.0,46100.0,46300.0,49000.0,51100.0,50200.0,39200.0,31700.0,29300.0,26500.0,8400.0,2900.0,500.0,35.9
　　　　労働者派遣事業所の派遣社員,15,173700.0,600.0,7500.0,19200.0,22100.0,11800.0,21400.0,24700.0,21200.0,21700.0,6500.0,6100.0,7300.0,3200.0,400.0,100.0,45.2
　　　　契約社員,16,,,,,,,,,,,,,,,,,-
　　　　嘱託,17,97800.0,,1500.0,2600.0,4500.0,6000.0,9800.0,11600.0,15500.0,17500.0,15400.0,7600.0,3900.0,900.0,600.0,500.0,52.6
　　　　その他,18,190100.0,800.0,2900.0,7500.0,9600.0,12100.0,14700.0,19200.0,20200.0,20500.0,21000.0,18700.0,20200.0,14900.0,4900.0,3000.0,55.7
　雇用契約期間の定めがある,19,7572900.0,124400.0,399500.0,423700.0,481200.0,590300.0,720000.0,986800.0,1013900.0,824000.0,951200.0,599700.0,340800.0,96900.0,16600.0,4100.0,48.7
　　　正規の職員・従業員,20,576700.0,3400.0,56200.0,74000.0,57100.0,43400.0,44900.0,47000.0,52900.0,43300.0,100900.0,31000.0,16000.0,4600.0,800.0,1200.0,45.1
　　　非正規の職員・従業員,21,6996300.0,121000.0,343200.0,349700.0,424000.0,546900.0,675200.0,939800.0,961000.0,780700.0,850300.0,568700.0,324800.0,92300.0,15800.0,2900.0,49.0
　　　　パート,22,3846200.0,4500.0,38100.0,94400.0,183200.0,295000.0,403100.0,567200.0,572100.0,492900.0,504500.0,383600.0,230900.0,65200.0,10600.0,900.0,52.4
　　　　アルバイト,23,738800.0,110000.0,188300.0,46300.0,37900.0,43300.0,38200.0,53800.0,47600.0,31800.0,43200.0,55800.0,31100.0,8500.0,1900.0,1200.0,38.0
　　　　労働者派遣事業所の派遣社員,24,668600.0,4000.0,28300.0,73700.0,66500.0,70900.0,75300.0,113400.0,112900.0,64200.0,30400.0,14000.0,11600.0,2700.0,400.0,200.0,44.0
　　　　契約社員,25,1281500.0,1300.0,69700.0,114200.0,115300.0,108500.0,128400.0,163000.0,177900.0,142600.0,155000.0,65200.0,29900.0,9600.0,1100.0,0.0,46.6
　　　　嘱託,26,283000.0,,3200.0,9800.0,10600.0,18900.0,17300.0,23100.0,30600.0,29400.0,91700.0,31600.0,12700.0,2800.0,800.0,400.0,54.7
　　　　その他,27,178000.0,1200.0,15600.0,11400.0,10500.0,10200.0,12900.0,19400.0,19900.0,19900.0,25500.0,18500.0,8600.0,3400.0,1000.0,,49.5
　　１か月未満,28,41500.0,3400.0,600.0,2900.0,3000.0,4600.0,3300.0,5000.0,5200.0,3600.0,3500.0,4500.0,1300.0,600.0,0.0,100.0,46.6
　　　正規の職員・従業員,29,2100.0,0.0,100.0,200.0,100.0,900.0,,100.0,200.0,100.0,200.0,0.0,100.0,,,,41.7
　　　非正規の職員・従業員,30,39300.0,3300.0,500.0,2600.0,2800.0,3700.0,3300.0,5000.0,4900.0,3500.0,3300.0,4500.0,1200.0,600.0,0.0,100.0,46.9
　　　　パート,31,13000.0,,300.0,900.0,400.0,1900.0,1700.0,1300.0,1400.0,1500.0,1200.0,1400.0,600.0,400.0,,100.0,49.8
　　　　アルバイト,32,9000.0,900.0,100.0,100.0,900.0,1000.0,300.0,800.0,900.0,400.0,900.0,2200.0,400.0,,,,49.6
　　　　労働者派遣事業所の派遣社員,33,12400.0,2500.0,100.0,1200.0,600.0,400.0,1200.0,1900.0,2400.0,1100.0,300.0,700.0,200.0,,,,41.6
　　　　契約社員,34,3200.0,,,300.0,1000.0,300.0,,300.0,200.0,400.0,500.0,100.0,,,,,44.2
　　　　嘱託,35,600.0,,,100.0,,,100.0,,100.0,100.0,300.0,,,,0.0,,54.9
　　　　その他,36,1300.0,,0.0,,,100.0,,800.0,,,100.0,100.0,,200.0,,,52.9
　　１か月以上３か月以下,37,592400.0,13300.0,32300.0,49000.0,49100.0,59500.0,65100.0,98000.0,87800.0,57500.0,37800.0,21600.0,17000.0,3000.0,1200.0,100.0,44.9
　　　正規の職員・従業員,38,12800.0,400.0,1400.0,2900.0,3600.0,400.0,500.0,900.0,600.0,700.0,1000.0,300.0,100.0,,,,36.5
　　　非正規の職員・従業員,39,579600.0,12900.0,30900.0,46100.0,45500.0,59100.0,64700.0,97100.0,87100.0,56800.0,36800.0,21300.0,16900.0,3000.0,1200.0,100.0,45.1
　　　　パート,40,170700.0,200.0,2300.0,6100.0,7900.0,18000.0,18300.0,27900.0,24400.0,21700.0,17600.0,10600.0,12400.0,2600.0,700.0,100.0,50.8
　　　　アルバイト,41,67700.0,12200.0,14600.0,2100.0,3200.0,5400.0,4300.0,5600.0,5600.0,4000.0,3400.0,4600.0,2300.0,100.0,200.0,,37.8
　　　　労働者派遣事業所の派遣社員,42,280100.0,400.0,8600.0,30400.0,28400.0,29400.0,35800.0,54500.0,51200.0,24700.0,11100.0,4700.0,700.0,,,,43.7
　　　　契約社員,43,55200.0,100.0,5100.0,7200.0,5500.0,6200.0,6100.0,8700.0,5200.0,5900.0,3500.0,900.0,800.0,,,,42.1
　　　　嘱託,44,3500.0,,200.0,,100.0,100.0,200.0,400.0,500.0,200.0,1000.0,200.0,300.0,100.0,300.0,,57.1
　　　　その他,45,2400.0,,,300.0,200.0,100.0,0.0,100.0,200.0,300.0,300.0,300.0,300.0,200.0,,,54.6
　　３か月超６か月以下,46,919800.0,25000.0,64700.0,48200.0,55200.0,67300.0,85700.0,132100.0,127800.0,97000.0,83900.0,79800.0,39800.0,10900.0,1500.0,1000.0,47.7
　　　正規の職員・従業員,47,20100.0,100.0,6000.0,3600.0,2900.0,1300.0,800.0,1600.0,1300.0,500.0,1600.0,400.0,100.0,,,,35.1
　　　非正規の職員・従業員,48,899700.0,24900.0,58700.0,44700.0,52300.0,65900.0,84900.0,130500.0,126400.0,96500.0,82400.0,79400.0,39700.0,10900.0,1500.0,1000.0,48.0
　　　　パート,49,546500.0,800.0,8400.0,14500.0,22600.0,40700.0,57400.0,87300.0,89500.0,72900.0,58600.0,57600.0,26900.0,8100.0,1100.0,0.0,51.8
　　　　アルバイト,50,156200.0,23900.0,43000.0,10000.0,9200.0,7000.0,6100.0,13000.0,7800.0,6600.0,7200.0,13100.0,6300.0,1800.0,400.0,800.0,37.4
　　　　労働者派遣事業所の派遣社員,51,84400.0,200.0,700.0,9200.0,8100.0,9800.0,8500.0,17100.0,12900.0,8500.0,4900.0,1800.0,2400.0,,,200.0,45.4
　　　　契約社員,52,96400.0,100.0,6100.0,10400.0,12100.0,7200.0,11600.0,11700.0,13600.0,7500.0,8900.0,3800.0,2800.0,600.0,,,44.6
　　　　嘱託,53,8400.0,,100.0,200.0,400.0,400.0,700.0,800.0,2100.0,200.0,1600.0,600.0,1000.0,300.0,100.0,,55.0
　　　　その他,54,7800.0,,400.0,400.0,,800.0,500.0,600.0,600.0,800.0,1200.0,2400.0,300.0,,,,54.3
　　６か月超１年以下,55,2841600.0,28800.0,107300.0,106200.0,136300.0,190600.0,258000.0,351800.0,388300.0,331700.0,468600.0,278900.0,145300.0,43700.0,5400.0,700.0,51.3
　　　正規の職員・従業員,56,117800.0,300.0,7100.0,7300.0,6100.0,7300.0,6900.0,9200.0,11100.0,8200.0,37700.0,10600.0,4700.0,1200.0,,100.0,51.6
　　　非正規の職員・従業員,57,2723800.0,28500.0,100100.0,98900.0,130200.0,183300.0,251100.0,342600.0,377200.0,323500.0,431000.0,268300.0,140600.0,42500.0,5400.0,500.0,51.3
　　　　パート,58,1766700.0,1300.0,13300.0,36200.0,74400.0,122000.0,179900.0,254600.0,265600.0,232600.0,262500.0,186100.0,102500.0,32100.0,3600.0,100.0,53.1
　　　　アルバイト,59,237200.0,27100.0,58300.0,15300.0,11000.0,13800.0,12300.0,17400.0,18700.0,12600.0,17500.0,19600.0,10700.0,2500.0,300.0,100.0,39.8
　　　　労働者派遣事業所の派遣社員,60,55600.0,,2700.0,2800.0,3900.0,4100.0,4400.0,5800.0,10200.0,7000.0,6100.0,3600.0,4100.0,1000.0,,,50.2
　　　　契約社員,61,431900.0,100.0,21400.0,36000.0,30800.0,30900.0,41000.0,43000.0,55100.0,45300.0,77900.0,32100.0,12500.0,5000.0,800.0,0.0,48.9
　　　　嘱託,62,148200.0,,1400.0,4900.0,4500.0,9100.0,7900.0,12400.0,15700.0,14400.0,52700.0,17700.0,6700.0,500.0,200.0,200.0,55.3
　　　　その他,63,84100.0,100.0,3100.0,3700.0,5500.0,3400.0,5800.0,9400.0,11800.0,11600.0,14300.0,9100.0,4100.0,1400.0,500.0,,52.2
　　１年超３年以下,64,1094500.0,10300.0,74900.0,67800.0,76800.0,88500.0,101400.0,132700.0,132900.0,108800.0,152600.0,90100.0,43900.0,11900.0,1800.0,100.0,48.2
　　　正規の職員・従業員,65,128700.0,600.0,18900.0,17100.0,14300.0,7200.0,5700.0,7600.0,8500.0,9200.0,27300.0,8100.0,2800.0,1200.0,200.0,,44.4
　　　非正規の職員・従業員,66,965800.0,9800.0,55900.0,50700.0,62500.0,81300.0,95700.0,125100.0,124300.0,99600.0,125300.0,82000.0,41100.0,10700.0,1600.0,100.0,48.7
　　　　パート,67,535800.0,700.0,4500.0,12800.0,30500.0,45000.0,56500.0,77600.0,76000.0,65400.0,72000.0,55900.0,30200.0,7300.0,1200.0,100.0,52.0
　　　　アルバイト,68,72400.0,7700.0,23100.0,4000.0,3300.0,5800.0,4800.0,5200.0,4100.0,1600.0,4600.0,4700.0,2200.0,1000.0,100.0,,36.7
　　　　労働者派遣事業所の派遣社員,69,59200.0,500.0,3600.0,6700.0,6100.0,6000.0,8900.0,7800.0,10900.0,3900.0,2600.0,1100.0,600.0,500.0,0.0,0.0,42.9
　　　　契約社員,70,191700.0,300.0,15100.0,20900.0,16100.0,15700.0,19200.0,26100.0,23300.0,17800.0,21700.0,10100.0,4400.0,900.0,0.0,,45.2
　　　　嘱託,71,68500.0,,1300.0,2700.0,4200.0,5300.0,3900.0,5400.0,7200.0,7100.0,19900.0,7500.0,3000.0,800.0,200.0,,53.4
　　　　その他,72,38100.0,600.0,8300.0,3400.0,2300.0,3500.0,2400.0,2900.0,2800.0,3700.0,4400.0,2800.0,700.0,200.0,0.0,,42.3
　　３年超５年以下,73,185900.0,4300.0,16500.0,21700.0,13600.0,13600.0,14600.0,18600.0,17700.0,13000.0,36200.0,9100.0,4900.0,2000.0,0.0,,45.6
　　　正規の職員・従業員,74,59400.0,700.0,5200.0,10800.0,6100.0,5200.0,3500.0,4200.0,2700.0,3700.0,13800.0,1600.0,1200.0,600.0,,,43.7
　　　非正規の職員・従業員,75,126400.0,3600.0,11200.0,10900.0,7500.0,8500.0,11100.0,14300.0,15000.0,9300.0,22400.0,7500.0,3700.0,1400.0,0.0,,46.5
　　　　パート,76,42900.0,200.0,400.0,1400.0,2100.0,3200.0,5400.0,6800.0,7400.0,3300.0,6400.0,3900.0,1900.0,500.0,,,51.1
　　　　アルバイト,77,13600.0,3300.0,3300.0,700.0,1000.0,100.0,400.0,1000.0,1300.0,600.0,500.0,1000.0,400.0,200.0,,,35.6
　　　　労働者派遣事業所の派遣社員,78,8600.0,,900.0,800.0,700.0,1300.0,500.0,400.0,1200.0,1000.0,500.0,500.0,600.0,400.0,,,46.1
　　　　契約社員,79,37200.0,100.0,5100.0,6800.0,3000.0,2800.0,3600.0,4200.0,3700.0,1800.0,4700.0,800.0,700.0,,,,41.2
　　　　嘱託,80,17000.0,,,300.0,100.0,700.0,800.0,1300.0,700.0,2200.0,9600.0,800.0,200.0,400.0,,,57.5
　　　　その他,81,7200.0,,1600.0,800.0,600.0,400.0,500.0,700.0,900.0,400.0,800.0,500.0,,,0.0,,41.5
　　５年超,82,196200.0,600.0,2700.0,12800.0,13900.0,15500.0,21600.0,26700.0,26500.0,29000.0,21900.0,11900.0,8800.0,2100.0,1900.0,300.0,49.7
　　　正規の職員・従業員,83,107400.0,100.0,2200.0,10600.0,10800.0,9300.0,14500.0,14800.0,16700.0,14500.0,8400.0,2900.0,2100.0,200.0,200.0,100.0,45.8
　　　非正規の職員・従業員,84,88800.0,500.0,500.0,2200.0,3100.0,6300.0,7000.0,11900.0,9900.0,14500.0,13500.0,9000.0,6700.0,1900.0,1700.0,200.0,54.4
　　　　パート,85,64600.0,,100.0,600.0,2300.0,4200.0,5600.0,8900.0,7600.0,11000.0,9700.0,6500.0,5400.0,1200.0,1500.0,200.0,55.3
　　　　アルバイト,86,7100.0,500.0,100.0,300.0,500.0,500.0,600.0,1200.0,400.0,400.0,600.0,800.0,900.0,300.0,,,50.4
　　　　労働者派遣事業所の派遣社員,87,2700.0,,,300.0,100.0,300.0,300.0,100.0,400.0,600.0,100.0,,100.0,200.0,200.0,,51.8
　　　　契約社員,88,7500.0,,,600.0,0.0,1000.0,300.0,1600.0,1000.0,1000.0,800.0,1000.0,100.0,100.0,,,50.6
　　　　嘱託,89,3300.0,,,,100.0,200.0,200.0,100.0,200.0,200.0,1400.0,700.0,100.0,,,,58.2
　　　　その他,90,3600.0,,300.0,400.0,100.0,100.0,,100.0,200.0,1300.0,900.0,0.0,100.0,100.0,100.0,,52.7
　　期間がわからない,91,1701100.0,38600.0,100600.0,115000.0,133300.0,150600.0,170300.0,222000.0,227800.0,183400.0,146700.0,103800.0,79900.0,22700.0,4700.0,1800.0,46.9
　　　正規の職員・従業員,92,128300.0,1300.0,15200.0,21500.0,13200.0,11800.0,12900.0,8500.0,11700.0,6400.0,10900.0,7000.0,5100.0,1400.0,400.0,1000.0,42.5
　　　非正規の職員・従業員,93,1572700.0,37400.0,85300.0,93600.0,120100.0,138700.0,157400.0,213400.0,216000.0,177000.0,135700.0,96800.0,74800.0,21300.0,4200.0,800.0,47.3
　　　　パート,94,706000.0,1300.0,8700.0,21800.0,43000.0,60100.0,78400.0,102800.0,100100.0,84400.0,76500.0,61700.0,51000.0,13100.0,2600.0,300.0,51.5
　　　　アルバイト,95,175600.0,34500.0,45800.0,13700.0,8800.0,9600.0,9500.0,9500.0,8700.0,5500.0,8500.0,9600.0,7900.0,2600.0,1000.0,400.0,35.7
　　　　労働者派遣事業所の派遣社員,96,165400.0,500.0,11800.0,22200.0,18600.0,19500.0,15800.0,25900.0,23800.0,17500.0,4800.0,1600.0,2800.0,600.0,200.0,,42.2
　　　　契約社員,97,458500.0,500.0,16900.0,31900.0,46800.0,44300.0,46600.0,67500.0,75900.0,62800.0,37100.0,16300.0,8700.0,3000.0,200.0,,46.5
　　　　嘱託,98,33600.0,,200.0,1600.0,1200.0,3200.0,3500.0,2800.0,4200.0,5100.0,5300.0,4100.0,1400.0,700.0,,200.0,52.5
　　　　その他,99,33700.0,500.0,1900.0,2200.0,1700.0,2000.0,3600.0,4900.0,3400.0,1700.0,3500.0,3400.0,3100.0,1300.0,300.0,,50.3
　わからない,100,2653500.0,200000.0,397200.0,226800.0,198100.0,217900.0,259500.0,279100.0,248000.0,168500.0,154700.0,121800.0,117900.0,50800.0,10700.0,2400.0,41.7
　　　正規の職員・従業員,101,515800.0,10900.0,115400.0,94800.0,59500.0,46000.0,43900.0,43500.0,34100.0,22300.0,18800.0,10600.0,9500.0,3600.0,2500.0,400.0,36.7
　　　非正規の職員・従業員,102,2137700.0,189000.0,281700.0,131900.0,138600.0,171900.0,215700.0,235600.0,214000.0,146200.0,135900.0,111200.0,108400.0,47200.0,8200.0,2000.0,42.9
　　　　パート,103,1212400.0,3900.0,24800.0,60100.0,79700.0,124900.0,164500.0,179900.0,161100.0,110100.0,104200.0,82900.0,76800.0,33200.0,5000.0,1300.0,49.6
　　　　アルバイト,104,645000.0,181900.0,229000.0,40800.0,32400.0,19700.0,24800.0,28400.0,22400.0,15900.0,12600.0,14200.0,15500.0,6100.0,1200.0,100.0,29.3
　　　　労働者派遣事業所の派遣社員,105,106400.0,1200.0,11500.0,11600.0,11700.0,11200.0,11400.0,13800.0,12400.0,7500.0,3200.0,3100.0,4300.0,3100.0,400.0,,42.8
　　　　契約社員,106,72600.0,400.0,10700.0,11700.0,8500.0,7500.0,7500.0,5600.0,6000.0,6200.0,4000.0,2100.0,1800.0,100.0,400.0,,40.2
　　　　嘱託,107,19200.0,,900.0,1300.0,900.0,800.0,1400.0,1000.0,2200.0,700.0,4500.0,2500.0,1900.0,1000.0,100.0,,54.3
　　　　その他,108,82100.0,1600.0,4900.0,6400.0,5500.0,7700.0,6000.0,6900.0,9900.0,5700.0,7400.0,6300.0,8200.0,3700.0,1200.0,600.0,50.0
