"雇用契約期間の定めの有無
従業上の地位・雇用形態",番号,総数,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85歳以上,平均年齢
　　　　労働者派遣事業所の派遣社員,78,16100.0,,1900.0,1800.0,1000.0,2100.0,500.0,600.0,1200.0,1200.0,1400.0,800.0,2200.0,1200.0,200.0,,48.7
　　　　契約社員,79,76500.0,100.0,7000.0,12200.0,4800.0,5100.0,4300.0,4800.0,5300.0,3400.0,22100.0,4400.0,1800.0,900.0,200.0,,46.9
　　　　嘱託,80,54200.0,,,300.0,700.0,1000.0,1100.0,1300.0,1000.0,3200.0,36500.0,5500.0,3000.0,500.0,100.0,,60.7
　　　　その他,81,15800.0,,1800.0,1900.0,900.0,400.0,600.0,800.0,900.0,500.0,4100.0,2000.0,1700.0,,200.0,,50.7
　　５年超,82,532700.0,1300.0,8300.0,29100.0,43300.0,48400.0,54400.0,69100.0,81300.0,78500.0,61700.0,29300.0,17200.0,6800.0,3200.0,800.0,49.3
　　　正規の職員・従業員,83,392300.0,800.0,6500.0,25100.0,38400.0,40100.0,46000.0,55100.0,67300.0,61200.0,35200.0,9700.0,4500.0,1300.0,500.0,500.0,46.9
　　　非正規の職員・従業員,84,140400.0,500.0,1800.0,3900.0,4900.0,8300.0,8500.0,14000.0,14000.0,17200.0,26500.0,19500.0,12700.0,5600.0,2700.0,300.0,56.1
　　　　パート,85,75000.0,,100.0,600.0,3000.0,4300.0,5800.0,9200.0,8900.0,11200.0,11000.0,9400.0,7100.0,2600.0,1600.0,200.0,56.3
　　　　アルバイト,86,16900.0,500.0,500.0,800.0,600.0,1500.0,1200.0,2000.0,900.0,700.0,800.0,2900.0,3200.0,1200.0,,,54.5
　　　　労働者派遣事業所の派遣社員,87,6100.0,,100.0,900.0,300.0,300.0,600.0,100.0,500.0,700.0,600.0,200.0,800.0,400.0,500.0,100.0,54.3
　　　　契約社員,88,22800.0,,600.0,1000.0,500.0,1900.0,500.0,2100.0,3400.0,2700.0,5900.0,3000.0,700.0,300.0,200.0,,54.2
　　　　嘱託,89,12700.0,,0.0,,100.0,200.0,300.0,100.0,200.0,500.0,6500.0,3700.0,200.0,600.0,300.0,,62.9
　　　　その他,90,6800.0,,500.0,600.0,300.0,200.0,,500.0,200.0,1300.0,1700.0,300.0,700.0,400.0,100.0,,54.3
　　期間がわからない,91,2870100.0,73600.0,216700.0,209000.0,217100.0,226300.0,241500.0,311400.0,323500.0,261100.0,293200.0,233000.0,185500.0,57600.0,15600.0,5100.0,47.7
　　　正規の職員・従業員,92,385300.0,2900.0,32900.0,56500.0,39000.0,35800.0,30500.0,31800.0,38300.0,25600.0,43900.0,23700.0,18200.0,4000.0,1200.0,1000.0,44.6
　　　非正規の職員・従業員,93,2484800.0,70600.0,183800.0,152400.0,178100.0,190600.0,210900.0,279600.0,285200.0,235600.0,249300.0,209300.0,167300.0,53600.0,14400.0,4100.0,48.2
　　　　パート,94,823800.0,2500.0,14700.0,29000.0,49600.0,65700.0,83600.0,110900.0,105300.0,89200.0,89200.0,83800.0,72900.0,20600.0,5400.0,1500.0,52.3
　　　　アルバイト,95,379900.0,63800.0,101100.0,24400.0,19300.0,15500.0,17000.0,16600.0,15500.0,10200.0,21100.0,30400.0,29900.0,10800.0,3600.0,600.0,38.8
　　　　労働者派遣事業所の派遣社員,96,242100.0,700.0,21400.0,34100.0,25700.0,25700.0,21100.0,32700.0,32700.0,21600.0,8300.0,6600.0,7100.0,3400.0,700.0,200.0,42.8
　　　　契約社員,97,896600.0,2800.0,40800.0,57900.0,78900.0,76400.0,79700.0,110000.0,122200.0,104600.0,103400.0,62600.0,41200.0,12600.0,2900.0,700.0,48.6
　　　　嘱託,98,78800.0,300.0,700.0,2200.0,1900.0,4200.0,4400.0,3500.0,4700.0,6900.0,20100.0,17700.0,8700.0,2200.0,500.0,800.0,58.5
　　　　その他,99,63600.0,500.0,5100.0,4800.0,2600.0,3100.0,5200.0,6000.0,4900.0,3100.0,7200.0,8100.0,7500.0,4000.0,1300.0,100.0,52.4
　わからない,100,4570100.0,360600.0,781200.0,443700.0,348800.0,355700.0,398400.0,412900.0,375500.0,256700.0,259300.0,231600.0,225200.0,91000.0,24600.0,4900.0,41.0
　　　正規の職員・従業員,101,1383600.0,25300.0,224700.0,227900.0,152600.0,136000.0,133700.0,133000.0,116500.0,84100.0,63900.0,40700.0,29000.0,10100.0,4900.0,1100.0,39.2
　　　非正規の職員・従業員,102,3186500.0,335300.0,556500.0,215800.0,196100.0,219600.0,264600.0,279900.0,259000.0,172700.0,195400.0,190900.0,196200.0,80900.0,19700.0,3800.0,41.7
　　　　パート,103,1362300.0,5900.0,33900.0,69700.0,90200.0,134000.0,176000.0,187000.0,169300.0,115000.0,118000.0,105800.0,105100.0,42600.0,8400.0,1300.0,50.1
　　　　アルバイト,104,1257000.0,323000.0,467100.0,81000.0,57900.0,38200.0,39700.0,43800.0,37100.0,22900.0,28200.0,42500.0,50800.0,18900.0,5200.0,600.0,30.5
　　　　労働者派遣事業所の派遣社員,105,174300.0,2200.0,19100.0,20600.0,17700.0,17500.0,17700.0,22000.0,18000.0,11700.0,6200.0,7100.0,7900.0,5100.0,1300.0,100.0,43.3
　　　　契約社員,106,171600.0,1700.0,21500.0,26600.0,16600.0,13300.0,17100.0,12800.0,14300.0,11400.0,14200.0,11800.0,7800.0,1800.0,700.0,300.0,43.0
　　　　嘱託,107,49600.0,,1000.0,2600.0,1500.0,2900.0,3000.0,1400.0,2500.0,1400.0,14900.0,7700.0,5400.0,4000.0,1300.0,,58.3
　　　　その他,108,171600.0,2600.0,14000.0,15200.0,12200.0,13700.0,11200.0,12900.0,17800.0,10300.0,13900.0,16100.0,19100.0,8500.0,2700.0,1500.0,50.0
